text,hashtags,date,user,users number of followers,location
"@no_silenced Will COVID bring the HARRIS/BIDEN campaign to a screeching halt? #PermanentLidJoe
",['PermanentLidJoe'],2020-10-16 00:01:33,knassios,11234,
"#TwitterDown #OsQuedanTresAnos #LaFaraonaPedofilo #สลายการชุมนุม #COVIDー19 #تسريب_صوره_الزين_القحطاني a ver   https://t.co/hQoGzO3o2o
","['TwitterDown', 'OsQuedanTresAnos', 'LaFaraonaPedofilo', 'สลายการชุมนุม', 'COVIDー19', 'تسريب_صوره_الزين_القحطاني']",2020-10-16 00:01:33,lixieternal,3386,ryujin's gf
"Low risk of Covid infection on planes if masks worn: US military https://t.co/gWWk1NXTeU   #USNews
",['USNews'],2020-10-16 00:01:34,HAccordingly,19793,
"still thinking abt how covid cancelled the bladee concert yves &amp; ecco concert lean's starz tour AND the lean documentary premiere https://t.co/0dh89l6soE
",[],2020-10-16 00:01:34,lordofthejewels,107,18 | she/her
"Close to 100 members from my tribe have been killed because of COVID-19 And funeral ceremonies were ordered to be cancelled by our Tribal Chief #ByeTiffany #WeAreNotOkay
",[],2020-10-16 00:01:34,HPIsaac2,2,"Mississippi, USA"
"Can Ducks even transmit covid?
",[],2020-10-16 00:01:35,IsaacMRosenthal,812,Los Angeles/Eugene
"@odunsitheengine @AyoBaloh25 There’s no covid-19. Assholes #EndSARS
",['EndSARS'],2020-10-16 00:01:35,pretty_young__W,2142,
"Very many happy returns. https://t.co/plH0huhzS0
",[],2020-10-16 00:01:35,mcguigandanny,6605,"East Kilbride, Scotland"
"Miles sounds like they are all in jail! “So, we’ve all been locked up for a couple of months now.” Which technically most of us have been, it’s called The Covid Lockdown Facility!! #MarriedAtFirstSight
",[],2020-10-16 00:01:35,AmyOnRocket,48,US
"@RonaldKlain @neal_katyal Where is the COVID TrumpCure? Now would be a good time to release it @realDonaldTrump
",[],2020-10-16 00:01:36,alexkertes1,95,
"@CBCNews So Trudeau is going to listen to the country responsible for Covid?
",[],2020-10-16 00:01:36,Canadianloud81,5,
"@Lakers @Keefmorris I don't mean to be rude but we are trying to stop covid right
",[],2020-10-16 00:01:37,cameoandrews,0,
"Move on.... in general (not just talking about Brexit here) Things happen for a reason, shit happens, you live and you learn, it’s life.   “When you forgive, you start walking forward”  That was deep, goodnight.
",[],2020-10-16 00:01:37,Dan__JD,779,Cardiff - Penarth
"Like I said from day 1, Covid 19 is nothing more then the flu.
",[],2020-10-16 00:01:39,AngryViking7,4144,"Bloomington, Indiana"
"“I hope that my experience shows my fellow citizens that you should follow C.D.C. guidelines in public no matter where you are and wear a mask to protect yourself and others” https://t.co/EbsEC4N04U
",[],2020-10-16 00:01:39,ShibleyTelhami,15754,
"@JoeBiden Bullshit! Trump’s economy was booming before COVID, and in a way, it still is! Stop lying Joe!
",[],2020-10-16 00:01:39,DarthNevets,100,
"@thebradfordfile @mountai39858604 And claiming they’ve been exposed to covid.
",[],2020-10-16 00:01:39,sdockter,4236,United States
"This bitch said she did everything right and went on to explain that people their mask off during the session. When they’re fucking sweating and breathing hard as fuck in an enclosed space with lackluster HVAC.
",[],2020-10-16 00:01:40,GlamazonJay,3319,DM[V]
"@realDonaldTrump @NBCNews @cspan @JoeBiden What I don't get is why are you doing it if you think it's fake news?  Is it because you know you'll get a bigger audience then you would at your covid rallies?  Are you jealous he has 2 hours and you only have 1 hour? https://t.co/GfRaPHeiFc
",[],2020-10-16 00:01:40,kathychronicles,176,"Somewhere, USA"
"🦠🦠🦠#Covid 🔥19🔥 days to go  til it's a wrap folks — GO. VOTE.   #PresidentBiden  #BLUESenate
","['Covid', 'PresidentBiden', 'BLUESenate']",2020-10-16 00:01:40,bonjouryall,1065,same planet as you
"@DeadlineWH @peterbakernyt @NicolleDWallace Trump wants to open the country! He followed his advisors and scientists on Covid. U keep bashing him 24/7 on MSNBC! What do U want from the guy? U think Biden has all the answers?
",[],2020-10-16 00:01:41,Richardkimble45,1189,
"Why children should be seen and not heard.
",[],2020-10-16 00:01:42,jwigderson,3526,Waukesha
"President Trump and former Vice President Joe Biden will participate in dueling town halls tonight, hoping to connect with voters as Covid-19 cases soar across the US and the President looks for a game-changing moment in a shaky reelection bid https://t.co/hQp3w8IL2u
",[],2020-10-16 00:01:42,CNN,50106509,
"I just got tested... tested for COVID.... ain’t got no COVIDDDD LMAOOO https://t.co/y7Dr0nLXWv
",[],2020-10-16 00:01:43,803Jamie,273,"New Jersey, USA"
"@LukeMor19529310 But the RCT's said it worked and Raoult said it was worthless. Unpossible  https://t.co/5BwkyfTjr5
",[],2020-10-16 00:01:43,yoshkapundrick,40,
"Watch this &amp; be proud to be Canadian!! It's also very relaxing, I sort of forget real life for a minute or five. #NoCheese
",[],2020-10-16 00:01:44,KrisIsPissedToo,904,
"Kamala and Joe aren’t travelling (covid excuse)  Is there going to be an election?
",[],2020-10-16 00:01:44,livvystar,7256,Definitely out there.
"I've received two email notifications about COVID-19 classmates - one tested at UHS, one tested off-campus - in my hybrid/in-person classes in the past week. I'm not enrolled in any in-person/hybrid classes, but this is incredibly worrying. #UMMakesUsSick
",[],2020-10-16 00:01:46,MaxSalTweets,220,"Ann Arbor, MI"
"Man apologizes, says he should have worn a mask, and also should not have eaten that ninth piece of pizza https://t.co/FpYbaxKpYZ
",[],2020-10-16 00:01:46,TenSecondCynic,1393,
"""I was given the cocktail the rest of you aren't able to get as treatment and refuse to disavow my support of Donald Trump who has mismanaged and downplayed this pandemic that has killed a lot of your family and friends while I had access to better care.""
",[],2020-10-16 00:01:46,PierceAH66,2251,NJ
"OH please. I know what he is. How gross. https://t.co/ueGuabzIOh
",[],2020-10-16 00:01:46,buckinflynd,58,Texas
"Twitter has covid.
",[],2020-10-16 00:01:47,LisaRules,19859,"Los Angeles, CA"
"'Get the kids back to school': Trump uses son's COVID-19 diagnosis to push for reopening https://t.co/AfmDHSFGHT
",[],2020-10-16 00:01:47,microsoftnews,1856,
"Hi! Did you say Hi to Hunter and @JoeBiden ? 😁😁😁
",[],2020-10-16 00:01:48,zuleidybgurley,1480,Caracas
"When people sew unrest by spreading lies and cause huge problems in society and they are too rich to be affectively penalized financially then we must use violence as a tool of dissuasion.
",[],2020-10-16 00:01:48,AnticopPDX,369,Stolen Cowlitz Territory
"Fonte: The Suns
",[],2020-10-16 00:01:48,GoldenHarryxy,1325,princess park 
"Lady Freethinker Supports Manifesto Calling to End Animal Abuse Amid COVID Epidemic https://t.co/te3GvWvDk9 via @ladyfreethinker
",[],2020-10-16 00:01:48,DebraDragonhea2,1720,
"@PrinzessGreen @SHomburg Lol, no it’s just covid is new so more people are vulnerable to infections where with the flu you have vaccines and past exposures.... lmao the flu is arguably more infectious than covid
",[],2020-10-16 00:01:48,Big_Time_Atl,121,"Atlanta, GA"
"It never ceases to amaze me how stupid people are
",[],2020-10-16 00:01:49,gringoinbrazil,255,
"Will you gettah fuck!! #EndsSARS
",['EndsSARS'],2020-10-16 00:01:49,OGIIGI,684,lagos nigeria
"your fucking grandma has covid and you're in my mfing house??????? first of all WHY TF ARE U OUT
",[],2020-10-16 00:01:51,vantelarity2,124,@vantelarity (she/her)
"Can someone tell Mr. I know it all?  https://t.co/39t2OAy5UA
",[],2020-10-16 00:01:52,IslandGypsy68,846,Cloud 7 😊
"@ChrisChristie so you got a second chance. 218,000 did not. Hope you use this to make wise choices.  @RapidTests #FFCE  @SteveFDA @CDCDirector @HHS_ASH  We need mass, rapid covid screening.   @michaelmina_lab @ASlavitt @mcuban @DWUhlfelderLaw @DrTomFrieden @DrEricDing @jhuber
",[],2020-10-16 00:01:52,LBGoodnessGrows,46,
"@JJ56123 the COVID agenda is fraudulent &amp; dishonest ... and in America the vaccine development process is guided by secret contractors working for the government.  the administration of mass inoculation will be a military operation also.  https://t.co/tt7BOg709Y
",[],2020-10-16 00:01:52,Wallace_Noll,1851,"Mesa, Arizona (USA)"
"Chris Christie says he was in ICU for 7 days battling Covid-19, urges Americans to wear masks https://t.co/2QvxLSfeLO via @YahooNews
",[],2020-10-16 00:01:52,pyramidfire,53,"Washington, DC"
"Stay Home for Thanksgiving. 🦃 ""CDC director says small gatherings are becoming a source of COVID-19 infection spread""  https://t.co/CJ3Xsmeunb
",[],2020-10-16 00:01:52,Hgonzal96762058,293,
"I WILL CRY
",[],2020-10-16 00:01:53,fooIsrush,1365,vic sill fiza elle ami
"Covid-19 spreading in homes via doorbells, towels and cutlery, Varadkar warns https://t.co/8n8zVHOX4f
",[],2020-10-16 00:01:53,JosephineFitzm1,282,Ireland
"Children are not little adults and have unique health needs. When it comes to #COVID, we must address the fact that children’s infection rates are rising, their immunization rates and declining, and they have increased mental health care needs through this crisis.🚨 #WeCareDebate
",['COVID'],2020-10-16 00:01:54,CAANevada,1437,Nevada
"Offering COVID-19 information and assistance located throughout the Las Vegas Valley, check out our Resource Guide! 👇👇 https://t.co/zHIKpTwDZP #WeAreLocal https://t.co/NEkpTPDjfk
",[],2020-10-16 00:01:54,OfftheStrip,6379,"Las Vegas, NV"
"@twhitfill People coming near death and talking about their experience is the only thing that is going to make people take COVID more seriously.  Masking + distance
",[],2020-10-16 00:01:54,blueWRL,690,"Dallas, TX"
"imagina postar fic pra ter likes https://t.co/Py9w8GF9JT
",[],2020-10-16 00:01:54,liarsmani,7052,
"Whatttt is this💀💀 Meek get outta heeere🤣
",[],2020-10-16 00:01:54,JasminSrensen9,36,
"We need peace #EndInsecurityNow #EndPoliceBrutalityinNigeria #EndSWATInNigeriaNow
","['EndInsecurityNow', 'EndPoliceBrutalityinNigeria', 'EndSWATInNigeriaNow']",2020-10-16 00:01:55,BornWntd1,78,Kaduna state
"The fatality rate for covid-19 is very close to that of the seasonal flu: 0.1%         WHY IS THAT? https://t.co/cpNbW2bQcR
",[],2020-10-16 00:01:55,IvanBot007,609,"Mississippi, USA"
"Leaders step up to the moment, and @MichelleUgenti has done anything but.  We've compiled some of her most egregious posts and appearances during COVID-19, combined with total state case count checkpoints. Take a look: https://t.co/Wj02Exb50F
",[],2020-10-16 00:01:55,SethBlattman,450,"Scottsdale, AZ"
