user,date,text,favorite_count,retweet_count,hashtags
guardian,Tue Oct 13 17:04:01 +0000 2020,One Direction star takes up plight of roadies left jobless by coronavirus https://t.co/EfCNPXJ473,89319,8236,[]
FabrizioRomano,Tue Oct 13 14:20:27 +0000 2020,"Cristiano Ronaldo has tested positive to Coronavirus, as Portugal official statement announced. #Covid19",69111,12760,Covid19
robreiner,Wed Oct 14 12:15:04 +0000 2020,"Of the 10s of thousands of lies this Sociopath has told, saying the Coronavirus has turned a corner is unmitigated… https://t.co/dVlZUDBmdr",43440,9884,[]
emorwee,Tue Oct 13 15:53:57 +0000 2020,"Mike Lee, infected with coronavirus, shouting ""the purpose of government is to protect life"" without a mask is a real 2020 mood",43058,7697,[]
ChuckWendig,Wed Oct 14 12:27:31 +0000 2020,"TRUMP: *eats a baby*

MEDIA: Biden might pack the courts

TRUMP: I don’t pay taxes and the money I save I put towar… https://t.co/0zCzUrAlKe",30613,8232,[]
Keir_Starmer,Tue Oct 13 16:18:30 +0000 2020,"We are at a decisive moment in the fight against the coronavirus.

That’s why I'm calling for a circuit break in En… https://t.co/cj6YYBkrb6",30242,4639,[]
SkySportsNews,Tue Oct 13 14:21:32 +0000 2020,BREAKING: Cristiano Ronaldo leaves Portugal squad after a positive test for coronavirus,29835,6111,[]
funder,Tue Oct 13 12:53:51 +0000 2020,"Moscow Mitch cackled during the debate last night when called out about his failed coronavirus response. Over 220,0… https://t.co/05moiBf6pU",23896,8150,[]
kylegriffin1,Wed Oct 14 11:00:00 +0000 2020,Why did the president knowingly mislead America about the coronavirus threat?,11664,2285,[]
CalebJHull,Tue Oct 13 17:51:51 +0000 2020,"Klobuchar: ""We should be doing something else right now. We should not be doing this. We should be passing coronavi… https://t.co/rCZ6CLzPYx",10634,4458,[]
jaketapper,Wed Oct 14 01:42:33 +0000 2020,"Labor secretary's wife, who was at Rose Garden event, tests positive for coronavirus - CNNPolitics https://t.co/wE7qT0Skb4",10577,3562,[]
DonaldJTrumpJr,Tue Oct 13 20:50:20 +0000 2020,"Fact Check: Joe Biden Lied to Seniors About What Trump Said on Coronavirus, Troops https://t.co/rRNSvSoZdM",8243,3292,[]
kaitlancollins,Wed Oct 14 01:34:20 +0000 2020,The Labor Department just announced that Secretary Scalia's wife Trish has tested positive for coronavirus. Scalia… https://t.co/IFzGM5gyEd,5195,1774,[]
DrEricDing,Wed Oct 14 00:21:48 +0000 2020,"⚠️True US Coronavirus deaths = ~300k! New study found ~75,000 more people may have died from #COVID19 than recorded… https://t.co/qaaZ3yfL89",4275,3209,COVID19
sarahkliff,Tue Oct 13 16:01:45 +0000 2020,"When the president took an air ambulance to the hospital, he didn't have to worry about surprise bills.

When an in… https://t.co/r7yKUJ7JQp",4072,2385,[]
